reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
13,2000-01-01,49303415000.0,0.0,0.199,0.0,9787295780.0,0.0,8.3192,0.963,0.971,0.0,0.5,36782000.0
13,2000-01-31,49303415000.0,0.08,,3964474093.0,,3.3698,,0.963,0.971,0.0,0.0,36782000.0
13,2000-03-02,49303415000.0,0.157,,7741121688.0,,6.58,,0.963,0.971,0.0,0.0,36782000.0
13,2000-04-01,49303415000.0,0.207,,10229530481.0,,8.6951,,0.963,0.971,0.02,0.0,36782000.0
13,2000-05-02,49303415000.0,0.224,,11047335637.0,,9.3902,,0.963,0.971,0.09,0.0,36782000.0
13,2000-06-01,49303415000.0,0.211,,10387319207.0,,8.8292,,0.963,0.971,0.07,0.0,36782000.0
13,2000-07-02,49303415000.0,0.17,,8370046487.0,,7.1145,,0.963,0.971,0.08,0.0,36782000.0
13,2000-08-01,49303415000.0,0.101,,4983354032.0,,4.2359,,0.963,0.971,0.07,0.0,36782000.0
13,2000-09-01,49303415000.0,0.014,,713257284.0,,0.6063,,0.963,0.971,0.07,0.0,36782000.0
13,2000-10-01,49303415000.0,-0.064,,-3152074222.0,,-2.6793,,0.963,0.971,0.14,0.0,36782000.0
13,2000-10-31,49303415000.0,-0.105,,-5179622482.0,,-4.4027,,0.963,0.971,0.15,0.0,36782000.0
13,2000-12-01,49303415000.0,-0.094,,-4654095315.0,,-3.956,,0.963,0.971,0.06,0.0,36782000.0
13,2000-12-31,49303415000.0,-0.038,0.108,-1893229358.0,5331775420.0,-1.6092,4.5334,0.963,0.971,0.16,0.82,36782000.0
13,2001-01-31,49303415000.0,0.041,,2029863548.0,,1.7254,,0.963,0.971,0.15,0.0,36782000.0
13,2001-03-02,49303415000.0,0.117,,5772547319.0,,4.9067,,0.963,0.971,0.28,0.0,36782000.0
13,2001-04-02,49303415000.0,0.167,,8226593341.0,,6.9926,,0.963,0.971,0.15,0.0,36782000.0
13,2001-05-02,49303415000.0,0.183,,9006722632.0,,7.6557,,0.963,0.971,0.19,0.0,36782000.0
13,2001-06-01,49303415000.0,0.169,,8308520456.0,,7.0622,,0.963,0.971,0.14,0.0,36782000.0
13,2001-07-02,49303415000.0,0.127,,6257149944.0,,5.3186,,0.963,0.971,0.06,0.0,36782000.0
13,2001-08-01,49303415000.0,0.058,,2843846358.0,,2.4173,,0.963,0.971,0.11,0.0,36782000.0
13,2001-09-01,49303415000.0,-0.029,,-1444582127.0,,-1.2279,,0.963,0.971,0.18,0.0,36782000.0
13,2001-10-01,49303415000.0,-0.108,,-5318771601.0,,-4.521,,0.963,0.971,0.27,0.0,36782000.0
13,2001-11-01,49303415000.0,-0.149,,-7345067047.0,,-6.2433,,0.963,0.971,0.29,0.0,36782000.0
13,2001-12-01,49303415000.0,-0.138,,-6818258670.0,,-5.7955,,0.963,0.971,0.15,0.0,36782000.0
13,2002-01-01,49303415000.0,-0.082,0.091,-4062078723.0,4483795815.0,-3.4528,3.819,0.963,0.971,0.24,0.77,36782000.0
13,2002-01-31,49303415000.0,-0.003,,-153288654.0,,-0.1303,,0.963,0.971,0.18,0.0,36782000.0
13,2002-03-02,49303415000.0,0.072,,3560250250.0,,3.0262,,0.963,0.971,0.23,0.0,36782000.0
13,2002-04-02,49303415000.0,0.121,,5977190212.0,,5.0806,,0.963,0.971,0.17,0.0,36782000.0
13,2002-05-02,49303415000.0,0.136,,6723277853.0,,5.7148,,0.963,0.971,0.16,0.0,36782000.0
13,2002-06-02,49303415000.0,0.122,,6000206308.0,,5.1002,,0.963,0.971,0.08,0.0,36782000.0
13,2002-07-02,49303415000.0,0.08,,3936120862.0,,3.3457,,0.963,0.971,0.11,0.0,36782000.0
13,2002-08-02,49303415000.0,0.011,,520157609.0,,0.4421,,0.963,0.971,0.11,0.0,36782000.0
13,2002-09-01,49303415000.0,-0.076,,-3768260613.0,,-3.203,,0.963,0.971,0.22,0.0,36782000.0
13,2002-10-01,49303415000.0,-0.155,,-7639018930.0,,-6.4932,,0.963,0.971,0.34,0.0,36782000.0
13,2002-11-01,49303415000.0,-0.196,,-9655229508.0,,-8.2069,,0.963,0.971,0.13,0.0,36782000.0
