reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
8,2000-01-01,2949103000.0,0.0,0.308,0.0,907219817.0,0.0,0.7711,0.995,0.999,0.0,0.52,406000.0
8,2000-01-31,2949103000.0,0.027,,79851887.0,,0.0679,,0.995,0.999,0.0,0.0,406000.0
8,2000-03-02,2949103000.0,0.042,,125103023.0,,0.1063,,0.995,0.999,0.0,0.0,406000.0
8,2000-04-01,2949103000.0,0.065,,192561898.0,,0.1637,,0.995,0.999,0.0,0.0,406000.0
8,2000-05-02,2949103000.0,0.082,,241863091.0,,0.2056,,0.995,0.999,0.0,0.0,406000.0
8,2000-06-01,2949103000.0,0.037,,110289946.0,,0.0937,,0.995,0.999,0.03,0.0,406000.0
8,2000-07-02,2949103000.0,-0.136,,-401542708.0,,-0.3413,,0.995,0.999,0.25,0.0,406000.0
8,2000-08-01,2949103000.0,-0.435,,-1281757218.0,,-1.0895,,0.995,0.999,0.08,0.0,406000.0
8,2000-09-01,2949103000.0,-0.734,,-2163849335.0,,-1.8393,,0.995,0.999,0.09,0.0,406000.0
8,2000-10-01,2949103000.0,-0.891,,-2626793395.0,,-2.2328,,0.995,0.999,0.0,0.0,406000.0
8,2000-10-31,2949103000.0,-0.885,,-2609415825.0,,-2.218,,0.995,0.999,0.08,0.0,406000.0
8,2000-12-01,2949103000.0,-0.809,,-2385789075.0,,-2.0279,,0.995,0.999,0.23,0.0,406000.0
8,2000-12-31,2949103000.0,-0.75,0.159,-2211083929.0,497132039.0,-1.8794,0.4429,0.995,0.999,0.0,0.81,406000.0
8,2001-01-31,2949103000.0,-0.725,,-2138653548.0,,-1.8179,,0.995,0.999,0.02,0.0,406000.0
8,2001-03-02,2949103000.0,-0.712,,-2100390739.0,,-1.7853,,0.995,0.999,0.06,0.0,406000.0
8,2001-04-02,2949103000.0,-0.692,,-2039775525.0,,-1.7338,,0.995,0.999,0.02,0.0,406000.0
8,2001-05-02,2949103000.0,-0.677,,-1997846575.0,,-1.6982,,0.995,0.999,0.16,0.0,406000.0
8,2001-06-01,2949103000.0,-0.725,,-2136981297.0,,-1.8164,,0.995,0.999,0.17,0.0,406000.0
8,2001-07-02,2949103000.0,-0.9,,-2654264389.0,,-2.2561,,0.995,0.999,0.0,0.0,406000.0
8,2001-08-01,2949103000.0,-1.198,,-3533166262.0,,-3.0032,,0.995,0.999,0.17,0.0,406000.0
