reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
18,2000-01-01,1161801000.0,0.0,0.47,0.0,545545516.0,0.0,0.4637,0.835,0.843,0.0,0.69,26790000.0
18,2000-01-31,1161801000.0,-0.208,,-241941504.0,,-0.2057,,0.835,0.843,0.0,0.0,26790000.0
18,2000-03-02,1161801000.0,-0.46,,-534809064.0,,-0.4546,,0.835,0.843,0.0,0.0,26790000.0
18,2000-04-01,1161801000.0,-0.651,,-756804980.0,,-0.6433,,0.835,0.843,0.33,0.0,26790000.0
18,2000-05-02,1161801000.0,-0.72,,-836333917.0,,-0.7109,,0.835,0.843,0.11,0.0,26790000.0
18,2000-06-01,1161801000.0,-0.677,,-786432089.0,,-0.6685,,0.835,0.843,0.0,0.0,26790000.0
18,2000-07-02,1161801000.0,-0.573,,-666265825.0,,-0.5663,,0.835,0.843,0.27,0.0,26790000.0
18,2000-08-01,1161801000.0,-0.45,,-522363356.0,,-0.444,,0.835,0.843,0.0,0.0,26790000.0
18,2000-09-01,1161801000.0,-0.324,,-376817311.0,,-0.3203,,0.835,0.843,0.35,0.0,26790000.0
18,2000-10-01,1161801000.0,-0.206,,-239097554.0,,-0.2032,,0.835,0.843,0.0,0.0,26790000.0
18,2000-10-31,1161801000.0,-0.111,,-128921642.0,,-0.1096,,0.835,0.843,0.0,0.0,26790000.0
18,2000-12-01,1161801000.0,-0.087,,-101507304.0,,-0.0863,,0.835,0.843,0.41,0.0,26790000.0
18,2000-12-31,1161801000.0,-0.19,0.288,-220335880.0,335201010.0,-0.1873,0.2852,0.835,0.843,0.51,0.92,26790000.0
18,2001-01-31,1161801000.0,-0.416,,-482918885.0,,-0.4105,,0.835,0.843,0.46,0.0,26790000.0
18,2001-03-02,1161801000.0,-0.685,,-795418762.0,,-0.6761,,0.835,0.843,0.38,0.0,26790000.0
18,2001-04-02,1161801000.0,-0.889,,-1032959088.0,,-0.878,,0.835,0.843,0.67,0.0,26790000.0
18,2001-05-02,1161801000.0,-0.967,,-1123153170.0,,-0.9547,,0.835,0.843,0.0,0.0,26790000.0
18,2001-06-01,1161801000.0,-0.93,,-1080702752.0,,-0.9186,,0.835,0.843,0.43,0.0,26790000.0
18,2001-07-02,1161801000.0,-0.831,,-965057203.0,,-0.8203,,0.835,0.843,0.5,0.0,26790000.0
18,2001-08-01,1161801000.0,-0.708,,-822643117.0,,-0.6992,,0.835,0.843,0.46,0.0,26790000.0
18,2001-09-01,1161801000.0,-0.582,,-676333902.0,,-0.5749,,0.835,0.843,0.11,0.0,26790000.0
18,2001-10-01,1161801000.0,-0.461,,-535521804.0,,-0.4552,,0.835,0.843,0.14,0.0,26790000.0
18,2001-11-01,1161801000.0,-0.361,,-419969888.0,,-0.357,,0.835,0.843,0.51,0.0,26790000.0
18,2001-12-01,1161801000.0,-0.331,,-384756762.0,,-0.327,,0.835,0.843,0.04,0.0,26790000.0
18,2002-01-01,1161801000.0,-0.424,0.278,-492716997.0,328522249.0,-0.4188,0.2808,0.835,0.843,0.94,0.92,26790000.0
18,2002-01-31,1161801000.0,-0.637,,-740385339.0,,-0.6293,,0.835,0.843,1.51,0.0,26790000.0
18,2002-03-02,1161801000.0,-0.889,,-1032558607.0,,-0.8777,,0.835,0.843,0.72,0.0,26790000.0
18,2002-04-02,1161801000.0,-1.072,,-1245890655.0,,-1.059,,0.835,0.843,0.21,0.0,26790000.0
18,2002-05-02,1161801000.0,-1.129,,-1312045516.0,,-1.1152,,0.835,0.843,0.22,0.0,26790000.0
