reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
17,2000-01-01,29429320000.0,0.0,0.638,0.0,18787165246.0,0.0,15.9691,0.915,0.925,0.0,0.18,120098000.0
17,2000-01-31,29429320000.0,-0.227,,-6687385779.0,,-5.6843,,0.915,0.925,0.0,0.0,120098000.0
17,2000-03-02,29429320000.0,-0.498,,-14655121825.0,,-12.4569,,0.915,0.925,0.0,0.0,120098000.0
17,2000-04-01,29429320000.0,-0.715,,-21044328244.0,,-17.8877,,0.915,0.925,0.0,0.0,120098000.0
17,2000-05-02,29429320000.0,-0.828,,-24369999200.0,,-20.7145,,0.915,0.925,0.13,0.0,120098000.0
17,2000-06-01,29429320000.0,-0.85,,-25007028382.0,,-21.256,,0.915,0.925,0.0,0.0,120098000.0
17,2000-07-02,29429320000.0,-0.818,,-24081812628.0,,-20.4695,,0.915,0.925,0.0,0.0,120098000.0
17,2000-08-01,29429320000.0,-0.761,,-22391719494.0,,-19.033,,0.915,0.925,0.0,0.0,120098000.0
17,2000-09-01,29429320000.0,-0.684,,-20133076308.0,,-17.1131,,0.915,0.925,0.0,0.0,120098000.0
17,2000-10-01,29429320000.0,-0.6,,-17671100179.0,,-15.0204,,0.915,0.925,0.05,0.0,120098000.0
17,2000-10-31,29429320000.0,-0.541,,-15933751050.0,,-13.5437,,0.915,0.925,0.03,0.0,120098000.0
17,2000-12-01,29429320000.0,-0.548,,-16135815231.0,,-13.7154,,0.915,0.925,0.04,0.0,120098000.0
17,2000-12-31,29429320000.0,-0.662,0.547,-19470881733.0,16139255398.0,-16.5502,13.768,0.915,0.925,0.09,0.52,120098000.0
17,2001-01-31,29429320000.0,-0.885,,-26045747654.0,,-22.1389,,0.915,0.925,0.01,0.0,120098000.0
17,2001-03-02,29429320000.0,-1.152,,-33902654002.0,,-28.8173,,0.915,0.925,0.0,0.0,120098000.0
17,2001-04-02,29429320000.0,-1.365,,-40183406123.0,,-34.1559,,0.915,0.925,0.06,0.0,120098000.0
17,2001-05-02,29429320000.0,-1.475,,-43418679436.0,,-36.9059,,0.915,0.925,0.0,0.0,120098000.0
17,2001-06-01,29429320000.0,-1.496,,-44011740230.0,,-37.41,,0.915,0.925,0.0,0.0,120098000.0
17,2001-07-02,29429320000.0,-1.464,,-43086125234.0,,-36.6232,,0.915,0.925,0.0,0.0,120098000.0
17,2001-08-01,29429320000.0,-1.407,,-41418832127.0,,-35.206,,0.915,0.925,0.05,0.0,120098000.0
17,2001-09-01,29429080000.0,-1.332,,-39204728130.0,,-33.324,,0.915,0.925,0.33,0.0,120098000.0
17,2001-10-01,29429080000.0,-1.251,,-36818707784.0,,-31.2959,,0.915,0.925,0.21,0.0,120098000.0
17,2001-11-01,29429080000.0,-1.196,,-35188006136.0,,-29.9098,,0.915,0.925,0.02,0.0,120098000.0
17,2001-12-01,29429080000.0,-1.207,,-35523148748.0,,-30.1947,,0.915,0.925,0.14,0.0,120098000.0
17,2002-01-01,29429080000.0,-1.326,0.378,-39017180292.0,11281293048.0,-33.1646,9.8707,0.915,0.925,0.25,0.56,120098000.0
17,2002-01-31,29429080000.0,-1.555,,-45771308054.0,,-38.9056,,0.915,0.925,0.36,0.0,120098000.0
17,2002-03-02,29429080000.0,-1.829,,-53812411487.0,,-45.7405,,0.915,0.925,0.09,0.0,120098000.0
17,2002-04-02,29429080000.0,-2.048,,-60268538927.0,,-51.2283,,0.915,0.925,0.01,0.0,120098000.0
17,2002-05-02,29429080000.0,-2.164,,-63677829880.0,,-54.1262,,0.915,0.925,0.04,0.0,120098000.0
17,2002-06-02,29429080000.0,-2.19,,-64455880528.0,,-54.7875,,0.915,0.925,0.0,0.0,120098000.0
17,2002-07-02,29429080000.0,-2.165,,-63723068783.0,,-54.1646,,0.915,0.925,0.01,0.0,120098000.0
17,2002-08-02,29429080000.0,-2.115,,-62251995982.0,,-52.9142,,0.915,0.925,0.01,0.0,120098000.0
17,2002-09-01,29429080000.0,-2.047,,-60237232012.0,,-51.2016,,0.915,0.925,0.05,0.0,120098000.0
17,2002-10-01,29429080000.0,-1.972,,-58046352209.0,,-49.3394,,0.915,0.925,0.04,0.0,120098000.0
17,2002-11-01,29429080000.0,-1.923,,-56598980484.0,,-48.1091,,0.915,0.925,0.07,0.0,120098000.0
17,2002-12-01,29429080000.0,-1.94,,-57099360488.0,,-48.5345,,0.915,0.925,0.0,0.0,120098000.0
17,2003-01-01,29429080000.0,-2.064,0.408,-60727214553.0,12375914658.0,-51.6181,11.1327,0.915,0.925,0.14,0.55,120098000.0
17,2003-01-31,29429080000.0,-2.296,,-67579434819.0,,-57.4425,,0.915,0.925,0.2,0.0,120098000.0
17,2003-03-03,29429080000.0,-2.572,,-75703807768.0,,-64.3482,,0.915,0.925,0.14,0.0,120098000.0
17,2003-04-02,29429080000.0,-2.795,,-82258335793.0,,-69.9196,,0.915,0.925,0.2,0.0,120098000.0
17,2003-05-03,29429080000.0,-2.915,,-85789187970.0,,-72.9208,,0.915,0.925,0.04,0.0,120098000.0
17,2003-06-02,29429080000.0,-2.946,,-86701981477.0,,-73.6967,,0.915,0.925,0.0,0.0,120098000.0
17,2003-07-02,29429080000.0,-2.926,,-86107358294.0,,-73.1913,,0.915,0.925,0.01,0.0,120098000.0
17,2003-08-02,29429080000.0,-2.881,,-84773343453.0,,-72.0573,,0.915,0.925,0.26,0.0,120098000.0
17,2003-09-01,29429080000.0,-2.817,,-82889146156.0,,-70.4558,,0.915,0.925,0.11,0.0,120098000.0
17,2003-10-02,29429080000.0,-2.747,,-80827735861.0,,-68.7036,,0.915,0.925,0.04,0.0,120098000.0
17,2003-11-01,29429080000.0,-2.702,,-79514798824.0,,-67.5876,,0.915,0.925,0.1,0.0,120098000.0
17,2003-12-02,29429080000.0,-2.723,,-80144074125.0,,-68.1225,,0.915,0.925,0.01,0.0,120098000.0
17,2004-01-01,29429080000.0,-2.85,0.404,-83879903555.0,12580960746.0,-71.2979,11.8189,0.915,0.925,0.15,0.46,120098000.0
17,2004-01-31,29429080000.0,-3.086,,-90813138197.0,,-77.1912,,0.915,0.925,0.23,0.0,120098000.0
17,2004-03-02,29429080000.0,-3.364,,-98999125380.0,,-84.1493,,0.915,0.925,0.16,0.0,120098000.0
17,2004-04-01,29429080000.0,-3.588,,-105605341698.0,,-89.7645,,0.915,0.925,0.11,0.0,120098000.0
17,2004-05-02,29429080000.0,-3.71,,-109178119936.0,,-92.8014,,0.915,0.925,0.19,0.0,120098000.0
17,2004-06-01,29429080000.0,-3.742,,-110109410888.0,,-93.593,,0.915,0.925,0.0,0.0,120098000.0
17,2004-07-02,29429080000.0,-3.721,,-109499938171.0,,-93.0749,,0.915,0.925,0.04,0.0,120098000.0
17,2004-08-01,29429080000.0,-3.674,,-108132369323.0,,-91.9125,,0.915,0.925,0.25,0.0,120098000.0
17,2004-09-01,29429080000.0,-3.609,,-106195453844.0,,-90.2661,,0.915,0.925,0.01,0.0,120098000.0
17,2004-10-01,29429080000.0,-3.536,,-104046803169.0,,-88.4398,,0.915,0.925,0.03,0.0,120098000.0
17,2004-10-31,29429080000.0,-3.487,,-102612016897.0,,-87.2202,,0.915,0.925,0.04,0.0,120098000.0
17,2004-12-01,29429080000.0,-3.503,,-103090739230.0,,-87.6271,,0.915,0.925,0.01,0.0,120098000.0
17,2004-12-31,29429080000.0,-3.624,0.309,-106655191010.0,10462526685.0,-90.6569,10.9562,0.915,0.925,0.27,0.62,120098000.0
17,2005-01-31,29429080000.0,-3.854,,-113406026799.0,,-96.3951,,0.915,0.925,0.53,0.0,120098000.0
17,2005-03-02,29429080000.0,-4.125,,-121394101985.0,,-103.185,,0.915,0.925,0.04,0.0,120098000.0
17,2005-04-02,29429080000.0,-4.342,,-127779938424.0,,-108.6129,,0.915,0.925,0.0,0.0,120098000.0
17,2005-05-02,29429080000.0,-4.456,,-131128380256.0,,-111.4591,,0.915,0.925,0.0,0.0,120098000.0
17,2005-06-01,29429080000.0,-4.481,,-131864893154.0,,-112.0852,,0.915,0.925,0.01,0.0,120098000.0
17,2005-07-02,29429080000.0,-4.455,,-131104301914.0,,-111.4387,,0.915,0.925,0.0,0.0,120098000.0
17,2005-08-01,29429080000.0,-4.405,,-129621202866.0,,-110.178,,0.915,0.925,0.0,0.0,120098000.0
17,2005-09-01,29429080000.0,-4.336,,-127603743168.0,,-108.4632,,0.915,0.925,0.06,0.0,120098000.0
17,2005-10-01,29429080000.0,-4.261,,-125404781689.0,,-106.5941,,0.915,0.925,0.08,0.0,120098000.0
17,2005-11-01,29429080000.0,-4.211,,-123939269992.0,,-105.3484,,0.915,0.925,0.05,0.0,120098000.0
17,2005-12-01,29429080000.0,-4.227,,-124404508978.0,,-105.7438,,0.915,0.925,0.27,0.0,120098000.0
17,2006-01-01,29429080000.0,-4.349,0.399,-127974476958.0,13300439921.0,-108.7783,13.6664,0.915,0.925,0.1,0.37,120098000.0
17,2006-01-31,29429080000.0,-4.579,,-134743015413.0,,-114.5316,,0.915,0.925,0.08,0.0,120098000.0
17,2006-03-02,29429080000.0,-4.851,,-142770094390.0,,-121.3546,,0.915,0.925,0.02,0.0,120098000.0
17,2006-04-02,29429080000.0,-5.071,,-149248105196.0,,-126.8609,,0.915,0.925,0.01,0.0,120098000.0
17,2006-05-02,29429080000.0,-5.19,,-152736763520.0,,-129.8262,,0.915,0.925,0.01,0.0,120098000.0
17,2006-06-02,29429080000.0,-5.22,,-153631659740.0,,-130.5869,,0.915,0.925,0.0,0.0,120098000.0
17,2006-07-02,29429080000.0,-5.2,,-153029252811.0,,-130.0749,,0.915,0.925,0.02,0.0,120098000.0
17,2006-08-02,29429080000.0,-5.155,,-151701013122.0,,-128.9459,,0.915,0.925,0.03,0.0,120098000.0
17,2006-09-01,29429080000.0,-5.092,,-149843459247.0,,-127.3669,,0.915,0.925,0.2,0.0,120098000.0
