reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
16,2000-01-01,2341036000.0,0.0,0.387,0.0,904877130.0,0.0,0.7691,0.949,0.956,0.0,0.62,2816000.0
16,2000-01-31,2341036000.0,-0.038,,-90011047.0,,-0.0765,,0.949,0.956,0.0,0.0,2816000.0
16,2000-03-02,2341036000.0,-0.075,,-174763013.0,,-0.1485,,0.949,0.956,0.0,0.0,2816000.0
16,2000-04-01,2341036000.0,-0.106,,-249005520.0,,-0.2117,,0.949,0.956,0.0,0.0,2816000.0
16,2000-05-02,2341036000.0,-0.136,,-317344423.0,,-0.2697,,0.949,0.956,0.0,0.0,2816000.0
16,2000-06-01,2341036000.0,-0.173,,-404603775.0,,-0.3439,,0.949,0.956,0.0,0.0,2816000.0
16,2000-07-02,2341036000.0,-0.225,,-526729433.0,,-0.4477,,0.949,0.956,0.14,0.0,2816000.0
16,2000-08-01,2341036000.0,-0.282,,-660071513.0,,-0.5611,,0.949,0.956,0.18,0.0,2816000.0
16,2000-09-01,2341036000.0,-0.33,,-772188854.0,,-0.6564,,0.949,0.956,0.21,0.0,2816000.0
16,2000-10-01,2341036000.0,-0.368,,-862443591.0,,-0.7331,,0.949,0.956,0.16,0.0,2816000.0
16,2000-10-31,2341036000.0,-0.405,,-948861648.0,,-0.8065,,0.949,0.956,0.12,0.0,2816000.0
16,2000-12-01,2341036000.0,-0.444,,-1038530084.0,,-0.8828,,0.949,0.956,0.13,0.0,2816000.0
16,2000-12-31,2341036000.0,-0.482,0.237,-1127553948.0,565692163.0,-0.9584,0.4856,0.949,0.956,0.08,0.88,2816000.0
16,2001-01-31,2341036000.0,-0.518,,-1213038664.0,,-1.0311,,0.949,0.956,0.03,0.0,2816000.0
16,2001-03-02,2341036000.0,-0.552,,-1292147126.0,,-1.0983,,0.949,0.956,0.11,0.0,2816000.0
16,2001-04-02,2341036000.0,-0.581,,-1359442599.0,,-1.1555,,0.949,0.956,0.28,0.0,2816000.0
16,2001-05-02,2341036000.0,-0.606,,-1419561087.0,,-1.2066,,0.949,0.956,0.19,0.0,2816000.0
16,2001-06-01,2341036000.0,-0.64,,-1497810394.0,,-1.2731,,0.949,0.956,0.28,0.0,2816000.0
16,2001-07-02,2341036000.0,-0.688,,-1610251691.0,,-1.3687,,0.949,0.956,0.33,0.0,2816000.0
16,2001-08-01,2341036000.0,-0.74,,-1732985908.0,,-1.473,,0.949,0.956,0.25,0.0,2816000.0
16,2001-09-01,2341036000.0,-0.783,,-1833949037.0,,-1.5589,,0.949,0.956,0.14,0.0,2816000.0
16,2001-10-01,2341036000.0,-0.817,,-1913211148.0,,-1.6262,,0.949,0.956,0.08,0.0,2816000.0
16,2001-11-01,2341036000.0,-0.85,,-1988789293.0,,-1.6905,,0.949,0.956,0.15,0.0,2816000.0
16,2001-12-01,2341036000.0,-0.883,,-2067578620.0,,-1.7574,,0.949,0.956,0.06,0.0,2816000.0
16,2002-01-01,2341036000.0,-0.917,0.227,-2146031875.0,568949353.0,-1.8241,0.5005,0.949,0.956,0.05,0.8,2816000.0
16,2002-01-31,2341036000.0,-0.949,,-2221465165.0,,-1.8882,,0.949,0.956,0.05,0.0,2816000.0
16,2002-03-02,2341036000.0,-0.979,,-2291043407.0,,-1.9474,,0.949,0.956,0.05,0.0,2816000.0
16,2002-04-02,2341036000.0,-1.004,,-2349577915.0,,-1.9971,,0.949,0.956,0.2,0.0,2816000.0
16,2002-05-02,2341036000.0,-1.026,,-2402068364.0,,-2.0418,,0.949,0.956,0.24,0.0,2816000.0
16,2002-06-02,2341036000.0,-1.057,,-2473709279.0,,-2.1027,,0.949,0.956,0.24,0.0,2816000.0
16,2002-07-02,2341036000.0,-1.102,,-2580072929.0,,-2.1931,,0.949,0.956,0.14,0.0,2816000.0
16,2002-08-02,2341036000.0,-1.152,,-2697236631.0,,-2.2927,,0.949,0.956,0.26,0.0,2816000.0
16,2002-09-01,2341036000.0,-1.193,,-2793576492.0,,-2.3745,,0.949,0.956,0.06,0.0,2816000.0
16,2002-10-01,2341036000.0,-1.226,,-2869477723.0,,-2.4391,,0.949,0.956,0.17,0.0,2816000.0
16,2002-11-01,2341036000.0,-1.257,,-2942811058.0,,-2.5014,,0.949,0.956,0.1,0.0,2816000.0
16,2002-12-01,2341036000.0,-1.29,,-3020304191.0,,-2.5673,,0.949,0.956,0.08,0.0,2816000.0
16,2003-01-01,2341036000.0,-1.323,0.227,-3098253289.0,607239433.0,-2.6335,0.5486,0.949,0.956,0.01,0.83,2816000.0
16,2003-01-31,2341036000.0,-1.356,,-3173608439.0,,-2.6976,,0.949,0.956,0.04,0.0,2816000.0
16,2003-03-03,2341036000.0,-1.385,,-3243361818.0,,-2.7569,,0.949,0.956,0.1,0.0,2816000.0
16,2003-04-02,2341036000.0,-1.411,,-3302744729.0,,-2.8073,,0.949,0.956,0.26,0.0,2816000.0
16,2003-05-03,2341036000.0,-1.434,,-3357231299.0,,-2.8536,,0.949,0.956,0.28,0.0,2816000.0
16,2003-06-02,2341036000.0,-1.466,,-3431922659.0,,-2.9171,,0.949,0.956,0.51,0.0,2816000.0
16,2003-07-02,2341036000.0,-1.513,,-3542183431.0,,-3.0109,,0.949,0.956,0.25,0.0,2816000.0
16,2003-08-02,2341036000.0,-1.565,,-3664378133.0,,-3.1147,,0.949,0.956,0.47,0.0,2816000.0
16,2003-09-01,2341036000.0,-1.609,,-3767594781.0,,-3.2025,,0.949,0.956,0.13,0.0,2816000.0
16,2003-10-02,2341036000.0,-1.646,,-3852222506.0,,-3.2744,,0.949,0.956,0.15,0.0,2816000.0
16,2003-11-01,2341036000.0,-1.681,,-3935329805.0,,-3.345,,0.949,0.956,0.17,0.0,2816000.0
16,2003-12-02,2341036000.0,-1.719,,-4023447597.0,,-3.4199,,0.949,0.956,0.03,0.0,2816000.0
16,2004-01-01,2341036000.0,-1.757,0.228,-4112845542.0,659383554.0,-3.4959,0.6124,0.949,0.956,0.11,0.85,2816000.0
16,2004-01-31,2341036000.0,-1.794,,-4200361317.0,,-3.5703,,0.949,0.956,0.07,0.0,2816000.0
16,2004-03-02,2341036000.0,-1.83,,-4283112476.0,,-3.6406,,0.949,0.956,0.04,0.0,2816000.0
16,2004-04-01,2341036000.0,-1.861,,-4356436771.0,,-3.703,,0.949,0.956,0.03,0.0,2816000.0
16,2004-05-02,2341036000.0,-1.89,,-4425575055.0,,-3.7617,,0.949,0.956,0.31,0.0,2816000.0
16,2004-06-01,2341036000.0,-1.929,,-4515315226.0,,-3.838,,0.949,0.956,0.42,0.0,2816000.0
16,2004-07-02,2341036000.0,-1.982,,-4640904156.0,,-3.9448,,0.949,0.956,0.47,0.0,2816000.0
16,2004-08-01,2341036000.0,-2.041,,-4778746194.0,,-4.0619,,0.949,0.956,0.42,0.0,2816000.0
16,2004-09-01,2341036000.0,-2.092,,-4897902013.0,,-4.1632,,0.949,0.956,0.11,0.0,2816000.0
16,2004-10-01,2341036000.0,-2.135,,-4997986383.0,,-4.2483,,0.949,0.956,0.11,0.0,2816000.0
16,2004-10-31,2341036000.0,-2.177,,-5095410216.0,,-4.3311,,0.949,0.956,0.16,0.0,2816000.0
16,2004-12-01,2341036000.0,-2.22,,-5196558977.0,,-4.4171,,0.949,0.956,0.01,0.0,2816000.0
16,2004-12-31,2341036000.0,-2.263,0.235,-5297842900.0,743864310.0,-4.5032,0.7077,0.949,0.956,0.02,0.77,2816000.0
16,2005-01-31,2341036000.0,-2.305,,-5396336268.0,,-4.5869,,0.949,0.956,0.03,0.0,2816000.0
16,2005-03-02,2341036000.0,-2.345,,-5489224410.0,,-4.6658,,0.949,0.956,0.06,0.0,2816000.0
16,2005-04-02,2341036000.0,-2.38,,-5571644502.0,,-4.7359,,0.949,0.956,0.23,0.0,2816000.0
16,2005-05-02,2341036000.0,-2.413,,-5648144686.0,,-4.8009,,0.949,0.956,0.22,0.0,2816000.0
16,2005-06-01,2341036000.0,-2.453,,-5742859981.0,,-4.8814,,0.949,0.956,0.45,0.0,2816000.0
16,2005-07-02,2341036000.0,-2.508,,-5871092507.0,,-4.9904,,0.949,0.956,0.39,0.0,2816000.0
16,2005-08-01,2341036000.0,-2.567,,-6009582666.0,,-5.1081,,0.949,0.956,0.56,0.0,2816000.0
16,2005-09-01,2341036000.0,-2.617,,-6126920602.0,,-5.2079,,0.949,0.956,0.17,0.0,2816000.0
16,2005-10-01,2341036000.0,-2.658,,-6222608060.0,,-5.2892,,0.949,0.956,0.04,0.0,2816000.0
16,2005-11-01,2341036000.0,-2.697,,-6313889315.0,,-5.3668,,0.949,0.956,0.0,0.0,2816000.0
16,2005-12-01,2341036000.0,-2.737,,-6407557198.0,,-5.4464,,0.949,0.956,0.02,0.0,2816000.0
16,2006-01-01,2341036000.0,-2.777,0.256,-6500405348.0,857456310.0,-5.5253,0.8266,0.949,0.956,0.02,0.55,2816000.0
16,2006-01-31,2341036000.0,-2.815,,-6589906966.0,,-5.6014,,0.949,0.956,0.06,0.0,2816000.0
16,2006-03-02,2341036000.0,-2.851,,-6673341020.0,,-5.6723,,0.949,0.956,0.01,0.0,2816000.0
16,2006-04-02,2341036000.0,-2.882,,-6745775407.0,,-5.7339,,0.949,0.956,0.05,0.0,2816000.0
16,2006-05-02,2341036000.0,-2.91,,-6811804977.0,,-5.79,,0.949,0.956,0.14,0.0,2816000.0
16,2006-06-02,2341036000.0,-2.946,,-6895533071.0,,-5.8612,,0.949,0.956,0.1,0.0,2816000.0
16,2006-07-02,2341036000.0,-2.995,,-7012334362.0,,-5.9605,,0.949,0.956,0.33,0.0,2816000.0
16,2006-08-02,2341036000.0,-3.05,,-7139391715.0,,-6.0685,,0.949,0.956,0.26,0.0,2816000.0
16,2006-09-01,2341036000.0,-3.095,,-7245779334.0,,-6.1589,,0.949,0.956,0.05,0.0,2816000.0
16,2006-10-01,2341036000.0,-3.132,,-7331436419.0,,-6.2317,,0.949,0.956,0.14,0.0,2816000.0
16,2006-11-01,2341036000.0,-3.167,,-7413441004.0,,-6.3014,,0.949,0.956,0.05,0.0,2816000.0
16,2006-12-01,2341036000.0,-3.203,,-7498325069.0,,-6.3736,,0.949,0.956,0.05,0.0,2816000.0
16,2007-01-01,2341036000.0,-3.239,0.233,-7583017201.0,900183582.0,-6.4456,0.8902,0.949,0.956,0.07,0.78,2816000.0
16,2007-01-31,2341036000.0,-3.274,,-7665055592.0,,-6.5153,,0.949,0.956,0.19,0.0,2816000.0
16,2007-03-03,2341036000.0,-3.307,,-7741695415.0,,-6.5804,,0.949,0.956,0.05,0.0,2816000.0
16,2007-04-02,2341036000.0,-3.335,,-7808120224.0,,-6.6369,,0.949,0.956,0.1,0.0,2816000.0
16,2007-05-03,2341036000.0,-3.361,,-7869015957.0,,-6.6887,,0.949,0.956,0.04,0.0,2816000.0
16,2007-06-02,2341036000.0,-3.395,,-7948014028.0,,-6.7558,,0.949,0.956,0.19,0.0,2816000.0
16,2007-07-02,2341036000.0,-3.443,,-8060001325.0,,-6.851,,0.949,0.956,0.28,0.0,2816000.0
16,2007-08-02,2341036000.0,-3.495,,-8182396464.0,,-6.955,,0.949,0.956,0.34,0.0,2816000.0
16,2007-09-01,2341036000.0,-3.539,,-8284995486.0,,-7.0422,,0.949,0.956,0.06,0.0,2816000.0
16,2007-10-02,2341036000.0,-3.575,,-8368131818.0,,-7.1129,,0.949,0.956,0.13,0.0,2816000.0
16,2007-11-01,2341036000.0,-3.609,,-8448559836.0,,-7.1813,,0.949,0.956,0.17,0.0,2816000.0
16,2007-12-02,2341036000.0,-3.645,,-8532531901.0,,-7.2527,,0.949,0.956,0.01,0.0,2816000.0
16,2008-01-01,2341036000.0,-3.681,0.241,-8616806691.0,989716881.0,-7.3243,0.9874,0.949,0.956,0.0,0.79,2816000.0
16,2008-01-31,2341036000.0,-3.716,,-8698925262.0,,-7.3941,,0.949,0.956,0.05,0.0,2816000.0
16,2008-03-02,2341036000.0,-3.749,,-8776367757.0,,-7.4599,,0.949,0.956,0.26,0.0,2816000.0
16,2008-04-01,2341036000.0,-3.778,,-8844518488.0,,-7.5178,,0.949,0.956,0.14,0.0,2816000.0
16,2008-05-02,2341036000.0,-3.805,,-8907907763.0,,-7.5717,,0.949,0.956,0.2,0.0,2816000.0
16,2008-06-01,2341036000.0,-3.84,,-8989876830.0,,-7.6414,,0.949,0.956,0.27,0.0,2816000.0
16,2008-07-02,2341036000.0,-3.889,,-9105311127.0,,-7.7395,,0.949,0.956,0.3,0.0,2816000.0
16,2008-08-01,2341036000.0,-3.944,,-9231981162.0,,-7.8472,,0.949,0.956,0.34,0.0,2816000.0
16,2008-09-01,2341036000.0,-3.99,,-9339814843.0,,-7.9388,,0.949,0.956,0.19,0.0,2816000.0
16,2008-10-01,2341036000.0,-4.028,,-9428932907.0,,-8.0146,,0.949,0.956,0.02,0.0,2816000.0
16,2008-10-31,2341036000.0,-4.065,,-9515920960.0,,-8.0885,,0.949,0.956,0.04,0.0,2816000.0
16,2008-12-01,2341036000.0,-4.104,,-9606703520.0,,-8.1657,,0.949,0.956,0.04,0.0,2816000.0
16,2008-12-31,2341036000.0,-4.143,0.252,-9697964901.0,1088421082.0,-8.2433,1.0929,0.949,0.956,0.01,0.55,2816000.0
16,2009-01-31,2341036000.0,-4.181,,-9787609115.0,,-8.3195,,0.949,0.956,0.04,0.0,2816000.0
16,2009-03-02,2341036000.0,-4.217,,-9873314460.0,,-8.3923,,0.949,0.956,0.07,0.0,2816000.0
16,2009-04-02,2341036000.0,-4.25,,-9950156561.0,,-8.4576,,0.949,0.956,0.09,0.0,2816000.0
16,2009-05-02,2341036000.0,-4.281,,-10021972252.0,,-8.5187,,0.949,0.956,0.16,0.0,2816000.0
16,2009-06-01,2341036000.0,-4.319,,-10111933982.0,,-8.5951,,0.949,0.956,0.21,0.0,2816000.0
16,2009-07-02,2341036000.0,-4.372,,-10235468988.0,,-8.7001,,0.949,0.956,0.67,0.0,2816000.0
16,2009-08-01,2341036000.0,-4.43,,-10370457810.0,,-8.8149,,0.949,0.956,0.31,0.0,2816000.0
16,2009-09-01,2341036000.0,-4.479,,-10486404028.0,,-8.9134,,0.949,0.956,0.0,0.0,2816000.0
16,2009-10-01,2341036000.0,-4.521,,-10583196701.0,,-8.9957,,0.949,0.956,0.17,0.0,2816000.0
16,2009-11-01,2341036000.0,-4.561,,-10677158010.0,,-9.0756,,0.949,0.956,0.09,0.0,2816000.0
16,2009-12-01,2341036000.0,-4.602,,-10773858722.0,,-9.1578,,0.949,0.956,0.03,0.0,2816000.0
16,2010-01-01,2341036000.0,-4.643,0.259,-10870076804.0,1190641016.0,-9.2396,1.204,0.949,0.956,0.04,0.76,2816000.0
16,2010-01-31,2341036000.0,-4.683,,-10964120578.0,,-9.3195,,0.949,0.956,0.03,0.0,2816000.0
16,2010-03-02,2341036000.0,-4.722,,-11053845249.0,,-9.3958,,0.949,0.956,0.0,0.0,2816000.0
16,2010-04-02,2341036000.0,-4.756,,-11133945414.0,,-9.4639,,0.949,0.956,0.2,0.0,2816000.0
16,2010-05-02,2341036000.0,-4.787,,-11207614446.0,,-9.5265,,0.949,0.956,0.35,0.0,2816000.0
16,2010-06-02,2341036000.0,-4.826,,-11297969955.0,,-9.6033,,0.949,0.956,0.25,0.0,2816000.0
16,2010-07-02,2341036000.0,-4.878,,-11420587803.0,,-9.7075,,0.949,0.956,1.01,0.0,2816000.0
16,2010-08-02,2341036000.0,-4.935,,-11553050766.0,,-9.8201,,0.949,0.956,0.69,0.0,2816000.0
16,2010-09-01,2341036000.0,-4.983,,-11665066937.0,,-9.9153,,0.949,0.956,0.09,0.0,2816000.0
16,2010-10-01,2341036000.0,-5.022,,-11757143377.0,,-9.9936,,0.949,0.956,0.06,0.0,2816000.0
16,2010-11-01,2341036000.0,-5.06,,-11845905933.0,,-10.069,,0.949,0.956,0.1,0.0,2816000.0
16,2010-12-01,2341036000.0,-5.099,,-11936917136.0,,-10.1464,,0.949,0.956,0.0,0.0,2816000.0
16,2011-01-01,2341036000.0,-5.137,0.25,-12027040251.0,1276493884.0,-10.223,1.3031,0.949,0.956,0.05,0.61,2816000.0
16,2011-01-31,2341036000.0,-5.175,,-12114918734.0,,-10.2977,,0.949,0.956,0.01,0.0,2816000.0
16,2011-03-03,2341036000.0,-5.211,,-12198668571.0,,-10.3689,,0.949,0.956,0.04,0.0,2816000.0
16,2011-04-02,2341036000.0,-5.243,,-12273014396.0,,-10.4321,,0.949,0.956,0.07,0.0,2816000.0
16,2011-05-03,2341036000.0,-5.272,,-12341143813.0,,-10.49,,0.949,0.956,0.06,0.0,2816000.0
16,2011-06-02,2341036000.0,-5.308,,-12425960966.0,,-10.5621,,0.949,0.956,0.18,0.0,2816000.0
16,2011-07-02,2341036000.0,-5.358,,-12542658997.0,,-10.6613,,0.949,0.956,0.24,0.0,2816000.0
