reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
7,2000-01-01,34187175000.0,0.0,0.203,0.0,6938370568.0,0.0,5.8976,0.994,1.0,0.0,0.49,34000.0
7,2000-01-31,34187175000.0,0.045,,1539983650.0,,1.309,,0.994,1.0,0.0,0.0,34000.0
7,2000-03-02,34187175000.0,0.1,,3411559827.0,,2.8998,,0.994,1.0,0.0,0.0,34000.0
7,2000-04-01,34187175000.0,0.143,,4892721100.0,,4.1588,,0.994,1.0,0.0,0.0,34000.0
7,2000-05-02,34187175000.0,0.136,,4653595532.0,,3.9556,,0.994,1.0,0.0,0.0,34000.0
7,2000-06-01,34187175000.0,0.049,,1674961823.0,,1.4237,,0.994,1.0,0.12,0.0,34000.0
7,2000-07-02,34187175000.0,-0.109,,-3738559080.0,,-3.1778,,0.994,1.0,0.11,0.0,34000.0
7,2000-08-01,34187175000.0,-0.268,,-9147250131.0,,-7.7752,,0.994,1.0,0.47,0.0,34000.0
7,2000-09-01,34187175000.0,-0.338,,-11562868736.0,,-9.8284,,0.994,1.0,0.0,0.0,34000.0
7,2000-10-01,34187175000.0,-0.316,,-10790707338.0,,-9.1721,,0.994,1.0,0.0,0.0,34000.0
7,2000-10-31,34187175000.0,-0.261,,-8908199676.0,,-7.572,,0.994,1.0,0.0,0.0,34000.0
7,2000-12-01,34187175000.0,-0.214,,-7299105858.0,,-6.2042,,0.994,1.0,0.0,0.0,34000.0
7,2000-12-31,34187175000.0,-0.174,0.116,-5964761421.0,3970286569.0,-5.07,3.3937,0.994,1.0,0.0,0.87,34000.0
7,2001-01-31,34187175000.0,-0.13,,-4427842774.0,,-3.7637,,0.994,1.0,0.0,0.0,34000.0
7,2001-03-02,34187175000.0,-0.075,,-2566104501.0,,-2.1812,,0.994,1.0,0.0,0.0,34000.0
7,2001-04-02,34187175000.0,-0.032,,-1098081802.0,,-0.9334,,0.994,1.0,0.27,0.0,34000.0
