reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
12,2000-01-01,1336462000.0,0.0,0.62,0.0,828662193.0,0.0,0.7044,0.912,0.917,0.0,0.34,9772000.0
12,2000-01-31,1336462000.0,0.052,,69383215.0,,0.059,,0.912,0.917,0.0,0.0,9772000.0
12,2000-03-02,1336462000.0,0.084,,111828700.0,,0.0951,,0.912,0.917,0.0,0.0,9772000.0
12,2000-04-01,1336462000.0,0.092,,123452495.0,,0.1049,,0.912,0.917,0.0,0.0,9772000.0
12,2000-05-02,1336462000.0,0.069,,91787842.0,,0.078,,0.912,0.917,0.0,0.0,9772000.0
12,2000-06-01,1336462000.0,0.007,,9298565.0,,0.0079,,0.912,0.917,0.02,0.0,9772000.0
12,2000-07-02,1336462000.0,-0.097,,-130062124.0,,-0.1106,,0.912,0.917,0.11,0.0,9772000.0
12,2000-08-01,1336462000.0,-0.24,,-320131822.0,,-0.2721,,0.912,0.917,0.0,0.0,9772000.0
12,2000-09-01,1336462000.0,-0.379,,-506813803.0,,-0.4308,,0.912,0.917,0.0,0.0,9772000.0
12,2000-10-01,1336462000.0,-0.451,,-602470421.0,,-0.5121,,0.912,0.917,0.0,0.0,9772000.0
12,2000-10-31,1336462000.0,-0.43,,-575142728.0,,-0.4889,,0.912,0.917,0.25,0.0,9772000.0
12,2000-12-01,1336462000.0,-0.359,,-479665401.0,,-0.4077,,0.912,0.917,0.12,0.0,9772000.0
12,2000-12-31,1336462000.0,-0.289,0.361,-386680178.0,483963622.0,-0.3287,0.412,0.912,0.917,0.01,0.76,9772000.0
12,2001-01-31,1336462000.0,-0.242,,-323526298.0,,-0.275,,0.912,0.917,0.01,0.0,9772000.0
12,2001-03-02,1336462000.0,-0.215,,-286901301.0,,-0.2439,,0.912,0.917,0.03,0.0,9772000.0
12,2001-04-02,1336462000.0,-0.21,,-280344422.0,,-0.2383,,0.912,0.917,0.06,0.0,9772000.0
12,2001-05-02,1336462000.0,-0.237,,-316122622.0,,-0.2687,,0.912,0.917,0.01,0.0,9772000.0
12,2001-06-01,1336462000.0,-0.301,,-401711887.0,,-0.3415,,0.912,0.917,0.36,0.0,9772000.0
12,2001-07-02,1336462000.0,-0.406,,-543145012.0,,-0.4617,,0.912,0.917,0.18,0.0,9772000.0
12,2001-08-01,1336462000.0,-0.549,,-734234251.0,,-0.6241,,0.912,0.917,0.06,0.0,9772000.0
12,2001-09-01,1336462000.0,-0.689,,-920787998.0,,-0.7827,,0.912,0.917,0.35,0.0,9772000.0
12,2001-10-01,1336462000.0,-0.759,,-1014835227.0,,-0.8626,,0.912,0.917,0.33,0.0,9772000.0
12,2001-11-01,1336462000.0,-0.737,,-984480034.0,,-0.8368,,0.912,0.917,0.12,0.0,9772000.0
12,2001-12-01,1336462000.0,-0.662,,-885338111.0,,-0.7525,,0.912,0.917,0.08,0.0,9772000.0
12,2002-01-01,1336462000.0,-0.59,0.253,-788569731.0,347713848.0,-0.6703,0.2993,0.912,0.917,0.02,0.74,9772000.0
12,2002-01-31,1336462000.0,-0.54,,-721702437.0,,-0.6134,,0.912,0.917,0.01,0.0,9772000.0
12,2002-03-02,1336462000.0,-0.51,,-681588559.0,,-0.5794,,0.912,0.917,0.05,0.0,9772000.0
12,2002-04-02,1336462000.0,-0.503,,-671984863.0,,-0.5712,,0.912,0.917,0.28,0.0,9772000.0
