reg,time,area,dh,err_dh,dvol,err_dvol,dm,err_dm,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,area_nodata
19.0,2000-01-01,132867219000.0,0.0,0.264,0.0,35038331412.0,0.0,29.7826,0.92,0.924,0.0,0.09,537194000.0
19.0,2000-01-31,132867219000.0,-0.037,,-4885458322.0,,-4.1526,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-03-02,132867219000.0,-0.062,,-8227662958.0,,-6.9935,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-04-01,132867219000.0,-0.072,,-9510351022.0,,-8.0838,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-05-02,132867219000.0,-0.076,,-10105682020.0,,-8.5898,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-06-01,132867219000.0,-0.085,,-11331287314.0,,-9.6316,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-07-02,132867219000.0,-0.102,,-13496621836.0,,-11.4721,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-08-01,132867219000.0,-0.123,,-16367939425.0,,-13.9127,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-09-01,132867219000.0,-0.148,,-19611982478.0,,-16.6702,,0.92,0.924,0.0,0.0,537194000.0
19.0,2000-10-01,132867219000.0,-0.173,,-22962931539.0,,-19.5185,,0.92,0.924,0.04,0.0,537194000.0
19.0,2000-10-31,132867219000.0,-0.199,,-26411385410.0,,-22.4497,,0.92,0.924,0.02,0.0,537194000.0
19.0,2000-12-01,132867219000.0,-0.229,,-30372094903.0,,-25.8163,,0.92,0.924,0.07,0.0,537194000.0
19.0,2000-12-31,132867219000.0,-0.265,0.209,-35247222928.0,27735968041.0,-29.9601,23.6702,0.92,0.924,0.16,0.42,537194000.0
19.0,2001-01-31,132867219000.0,-0.303,,-40302774948.0,,-34.2574,,0.92,0.924,0.01,0.0,537194000.0
19.0,2001-03-02,132867219000.0,-0.33,,-43789488414.0,,-37.2211,,0.92,0.924,0.01,0.0,537194000.0
19.0,2001-04-02,132867219000.0,-0.34,,-45236775729.0,,-38.4513,,0.92,0.924,0.0,0.0,537194000.0
19.0,2001-05-02,132867219000.0,-0.347,,-46042068646.0,,-39.1358,,0.92,0.924,0.0,0.0,537194000.0
19.0,2001-06-01,132867219000.0,-0.358,,-47509310232.0,,-40.3829,,0.92,0.924,0.0,0.0,537194000.0
19.0,2001-07-02,132867219000.0,-0.376,,-49929385078.0,,-42.44,,0.92,0.924,0.0,0.0,537194000.0
19.0,2001-08-01,132867219000.0,-0.399,,-53050279931.0,,-45.0927,,0.92,0.924,0.01,0.0,537194000.0
19.0,2001-09-01,132867219000.0,-0.425,,-56525814307.0,,-48.0469,,0.92,0.924,0.03,0.0,537194000.0
19.0,2001-10-01,132867219000.0,-0.452,,-60095117850.0,,-51.0809,,0.92,0.924,0.1,0.0,537194000.0
19.0,2001-11-01,132867219000.0,-0.48,,-63750234482.0,,-54.1877,,0.92,0.924,0.09,0.0,537194000.0
19.0,2001-12-01,132867219000.0,-0.511,,-67871526837.0,,-57.6908,,0.92,0.924,0.23,0.0,537194000.0
19.0,2002-01-01,132867219000.0,-0.548,0.166,-72789628174.0,22114699490.0,-61.8712,19.2982,0.92,0.924,0.23,0.44,537194000.0
